,RegionName,City,State,Metro,CountyName,RoomType,SizeRank,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09
428,95125,San Jose,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,2,429,2552,2504,2600,2597.5,2600,2595,2662,2645,2650,2605,2595,2645,2597.5,2531,2685,2610,2597.5,2649,2625.5,2890,3325,3200,3010,2850,2800,2745,2695,2695,2850,2850,2860,2695,2895
458,94806,San Pablo,CA,San Francisco-Oakland-Hayward,Contra Costa County,2,459,2170,2170,2250,2327,2353.5,2320,2415,2328,2371,2500,2437.5,2403,2411,2364.5,2200,2175,2222,2283,2281,2279.5,2200,2180,2143,2185.5,2150,2198,2248,2299,2300,2237,2205,2174.5,2240
509,95008,Campbell,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,2,510,2495,2497.5,2472,2397.5,2495,2545,2670,2697.5,2640,2500,2544,2647.5,2640,2718,2795,2645,2804.5,2821,2900,2930,2795,2800,2905,2949,2800,2850,2834.5,2900,2850,2980,3069.5,2942,2919
576,94115,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,2,577,4195,4200,4447,4374,4350,4292,4375.5,4526.5,4679.5,4500,4300,4286,4244,4395,4490,4564.5,4499.5,4195,4453,4508,4502,4455,4397.5,4200,4254,4472.5,4350,4271,4150,4244,4495,4528,4493
681,94117,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,2,682,3887.5,3750,3995,4200,4500,4495,4395,4400,4150,3995,3995,3850,3897.5,3947.5,3987.5,3995,4150,4450,4295,4250,4295,4200,4122.5,4147.5,4000,4000,3995,3995,3900,3995,4150,4200,4197
704,94102,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,2,705,4550,4567,4552.5,4580,4752.5,4675,4810,4997.5,5000,4800,4800,4550,4392.5,4505,4542.5,4550,4800,5100,5100,4847.5,5195,4800,4811,4861,4795,4550,4962.5,5098.5,5387.5,5240,5098.5,4960,5110
717,94121,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,2,718,3700,3597.5,3650,3500,3495,3495,3700,3800,3485,3497.5,3400,3537.5,3537.5,3695,3600,3625,3495,3500,3500,3600,3500,3400,3300,3500,3597.5,3550,3695,3500,3537.5,3495,3465,3500,3450
801,94546,Castro Valley,CA,San Francisco-Oakland-Hayward,Alameda County,2,802,2189,2250,2102.5,2200,2200,2200,2300,2300,2227.5,2300,2270,2197.5,2155,2150,2000,2250,2250,2250,2252.5,2250,2200,2200,2297.5,2330,2250,2330,2295,2300,2305,2425,2350,2372.5,2350
805,94118,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,2,805,3450,3650,3500,3495,3600,3693.5,3825,3847.5,3772.5,3800,3700,3600,3500,3500,3625,3795,3725,3700,3995,3800,3937.5,3895,3650,3697.5,3850,3600,3600,3750,3600,3695,3750,3750,3800
820,94403,San Mateo,CA,San Francisco-Oakland-Hayward,San Mateo County,2,821,2891.5,3014,3172.5,3025,2991,3073.5,3049.5,3082,3129,3151,3009,3011.5,3104,3119,3234.5,3177,3600,3990,3975,3949.5,3867,3949,3901.5,3775,3733,3647.5,3508,3685,3969,3950,3988,3872,3720.5
883,94114,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,2,884,4725,4662.5,4299.5,4500,4400,4350,4300,4500,4500,4725,4675,4600,4645,4725,4875,4850,4875,4800,4800,4725,4747.5,4500,4595,4475,4485,4500,4685,4768,4950,4800,4975,5035.5,5150
888,94103,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,2,889,4745,4800,4645,4737.5,4365,4400,4725,4600,4500,4596,4500,4567.5,4500,4638,4600,4600,4685,4831,4872.5,4858.5,4895,4810,4567.5,4457,4755,4593.5,4766,4830,4900,4884.5,4968.5,4911.5,4895
906,94107,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,2,907,4660,4673.5,4430,4700,4900,4996,4960,4795,4747.5,4662.5,4717.5,4685,4750,4682.5,4692.5,4726,4785,4895,4881,4886,4886,4981,4924.5,4858,4795,4811,4850,4865,4935,4979,4999,5034,5080
936,94566,Pleasanton,CA,San Francisco-Oakland-Hayward,Alameda County,2,937,2473,2513,2570,2600,2667,2675.5,2668.5,2800,2580,2500,2539,2531.5,2561,2700,2700,2585,2620,2659,2677.5,2703,2649.5,2647,2606,2645,2636,2658,3062.5,2710,2792.5,2870,2900,2627.5,2665
983,94025,Menlo Park,CA,San Francisco-Oakland-Hayward,San Mateo County,2,984,3295,3500,3750,3800,4020,4150,3799.5,3900,3969,3959.5,3895,3699,3800,3900,3750,3970,4000,4100,4105,4025.5,4000,4000,4000,3795,3950,3955,4105,3929,3725,4365,4405,4432,4250
1141,94608,Oakland,CA,San Francisco-Oakland-Hayward,Alameda County,2,1142,3235,3400,3187,3200,3250,3500,3395,3395,3399,3275,3300,3250,3314,3251,3379,3309,3350,3400,3307,3437,3400,3200,3200,3280,3300,3425,3358,3285,3222.5,3345,3386.5,3403,3390
1158,95126,San Jose,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,2,1159,2905,2800,2887,2887,2920,2980,3125,3236,3100,2976,2955,3067.5,3125,3081,3056,3205,3215,3250,3290,3260,3200,3350,3507.5,3301,3276,3320,3550,3500,3530,3498.5,3505,3605,3507.5
1170,94404,Foster City,CA,San Francisco-Oakland-Hayward,San Mateo County,2,1171,3355,3400,3568,3580,3500,3555.5,3500,3500,3456.5,3408.5,3500,3500,3599.5,3639.5,3645,3550,3719.5,3653.5,3729,3733,3620.5,3636,3572.5,3645,3700,3745.5,3817,3900,3930.5,3920,3959,3835,3800
1190,95050,Santa Clara,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,2,1191,2400,2425,2499,2600,2739,2643,2545.5,2550,2550,2582,2600,2607,2691,2600,2600,2654.5,2871.5,2850,2751,2710,2800,2875,2845,2700,2784.5,2749,2800,2875,2905,3028,3100,3100,2900
